id_loc,Annee,id_cndt,1_tour,2_tour
1,1965,53,50418,72066.0
1,1965,18,71246,90898.0
1,1965,4,2152,
1,1965,68,8317,
1,1965,50,3006,
1,1965,44,30416,
2,1965,18,118720,137901.0
2,1965,68,8804,
2,1965,50,3147,
2,1965,44,37036,
2,1965,4,2946,
2,1965,53,79897,109130.0
3,1965,44,26369,
3,1965,68,11045,
3,1965,18,73973,90020.0
3,1965,4,2126,
3,1965,50,4014,
3,1965,53,84861,109592.0
4,1965,44,6782,
4,1965,18,17738,22037.0
4,1965,68,4573,
4,1965,50,893,
4,1965,4,678,
4,1965,53,19990,28152.0
5,1965,4,4028,
5,1965,53,96884,162699.0
5,1965,50,6303,
5,1965,44,50935,
5,1965,18,140830,165877.0
5,1965,68,42760,
6,1965,18,58538,74503.0
6,1965,53,44526,59920.0
6,1965,4,1758,
6,1965,50,1780,
6,1965,44,23172,
6,1965,68,7396,
7,1965,44,20423,
7,1965,4,1634,
7,1965,18,65432,77254.0
7,1965,50,1663,
7,1965,68,4502,
7,1965,53,47046,62329.0
9,1965,18,26206,29290.0
9,1965,44,5861,
9,1965,50,990,
9,1965,4,605,
9,1965,68,4465,
9,1965,53,38316,48828.0
11,1965,50,1737,
11,1965,44,20667,
11,1965,18,56532,69112.0
11,1965,53,45400,58062.0
11,1965,68,4724,
11,1965,4,1220,
12,1965,50,2136,
12,1965,53,73485,96225.0
12,1965,68,10028,
12,1965,4,1347,
12,1965,44,15874,
12,1965,18,44123,52034.0
13,1965,53,43974,66905.0
13,1965,44,37745,
13,1965,18,63337,86478.0
13,1965,4,1714,
13,1965,68,6864,
13,1965,50,3442,
14,1965,53,39532,74851.0
14,1965,44,85231,
14,1965,68,8980,
14,1965,18,244970,297169.0
14,1965,4,3344,
14,1965,50,2764,
15,1965,53,237573,334228.0
15,1965,44,58070,
15,1965,50,9911,
15,1965,68,75206,
15,1965,18,215475,256916.0
15,1965,4,7606,
17,1965,44,56790,
17,1965,68,10482,
17,1965,18,117219,146863.0
17,1965,50,4530,
17,1965,4,2372,
17,1965,53,48975,81277.0
18,1965,4,793,
18,1965,50,1730,
18,1965,18,42169,53236.0
18,1965,68,3642,
18,1965,53,21830,32041.0
18,1965,44,15808,
19,1965,50,19380,
19,1965,18,72440,89493.0
19,1965,53,53840,78970.0
19,1965,44,16622,
19,1965,68,8409,
19,1965,4,1347,
20,1965,53,74895,113030.0
20,1965,18,95813,118112.0
20,1965,44,38541,
20,1965,4,2620,
20,1965,68,15196,
20,1965,50,8752,
21,1965,50,3102,
21,1965,68,7233,
21,1965,18,63405,76460.0
21,1965,44,19026,
21,1965,53,59749,76057.0
21,1965,4,1772,
22,1965,68,4822,
22,1965,50,2377,
22,1965,44,12621,
22,1965,53,60187,73448.0
22,1965,4,1238,
22,1965,18,53010,61445.0
24,1965,68,9140,
24,1965,44,7717,
24,1965,53,25661,43541.0
24,1965,4,456,
24,1965,18,56524,64375.0
24,1965,50,540,
26,1965,18,76536,97806.0
26,1965,68,9921,
26,1965,4,2535,
26,1965,53,62076,86460.0
26,1965,50,3178,
26,1965,44,37804,
27,1965,68,5814,
27,1965,50,3033,
