,id_loc,Annee,suffrage,1_tour,2_tour
0,1,1965,Inscrits,206496,206473.0
1,1,1965,Exprimés,165555,162964.0
2,1,1965,Blancs et nuls,1431,4725.0
3,1,1965,Votants,166986,167689.0
4,2,1965,Blancs et nuls,3084,6556.0
5,2,1965,Votants,253634,253587.0
6,2,1965,Exprimés,250550,247031.0
7,2,1965,Inscrits,290750,290593.0
8,3,1965,Exprimés,202388,199612.0
9,3,1965,Blancs et nuls,2154,5292.0
10,3,1965,Inscrits,244364,244320.0
11,3,1965,Votants,204542,204904.0
12,4,1965,Blancs et nuls,711,1412.0
13,4,1965,Exprimés,50654,50189.0
14,4,1965,Inscrits,62596,62577.0
15,4,1965,Votants,51365,51601.0
16,58,1965,Votants,45770,46962.0
17,58,1965,Inscrits,57578,57569.0
18,58,1965,Blancs et nuls,578,1302.0
19,58,1965,Exprimés,45192,45660.0
20,5,1965,Exprimés,341740,328576.0
21,5,1965,Votants,345781,338892.0
22,5,1965,Blancs et nuls,4041,10316.0
23,5,1965,Inscrits,408969,408942.0
24,6,1965,Votants,138440,138369.0
25,6,1965,Exprimés,137170,134423.0
26,6,1965,Blancs et nuls,1270,3946.0
27,6,1965,Inscrits,165626,165572.0
28,7,1965,Blancs et nuls,1497,3596.0
29,7,1965,Inscrits,166779,166734.0
30,7,1965,Votants,142197,143179.0
31,7,1965,Exprimés,140700,139583.0
32,9,1965,Blancs et nuls,811,1347.0
33,9,1965,Inscrits,94742,94742.0
34,9,1965,Votants,77254,79465.0
35,9,1965,Exprimés,76443,78118.0
36,11,1965,Blancs et nuls,1435,4202.0
37,11,1965,Inscrits,153423,153399.0
38,11,1965,Exprimés,130280,127174.0
39,11,1965,Votants,131715,131376.0
40,12,1965,Exprimés,146993,148259.0
41,12,1965,Inscrits,173977,173913.0
42,12,1965,Blancs et nuls,2096,3640.0
43,12,1965,Votants,149089,151899.0
44,13,1965,Inscrits,189045,188848.0
45,13,1965,Blancs et nuls,2189,6219.0
46,13,1965,Exprimés,157076,153383.0
47,13,1965,Votants,159265,159602.0
48,15,1965,Inscrits,750783,749793.0
49,15,1965,Blancs et nuls,5828,14069.0
50,15,1965,Exprimés,603841,591144.0
51,15,1965,Votants,609669,605213.0
52,17,1965,Votants,242609,236547.0
53,17,1965,Exprimés,240368,228140.0
54,17,1965,Inscrits,281587,281530.0
55,17,1965,Blancs et nuls,2241,8407.0
56,18,1965,Blancs et nuls,667,2148.0
57,18,1965,Exprimés,85972,85277.0
58,18,1965,Votants,86639,87425.0
59,18,1965,Inscrits,110678,110618.0
60,19,1965,Inscrits,206323,206210.0
61,19,1965,Exprimés,172038,168463.0
62,19,1965,Votants,173848,173268.0
63,19,1965,Blancs et nuls,1810,4805.0
64,20,1965,Inscrits,290581,290538.0
65,20,1965,Blancs et nuls,2424,6582.0
66,20,1965,Exprimés,235817,231142.0
67,20,1965,Votants,238241,237724.0
68,21,1965,Inscrits,186105,185981.0
69,21,1965,Exprimés,154287,152517.0
70,21,1965,Votants,155881,156615.0
71,21,1965,Blancs et nuls,1594,4098.0
72,22,1965,Blancs et nuls,1115,2315.0
73,22,1965,Votants,135370,137208.0
74,22,1965,Inscrits,161901,161834.0
75,22,1965,Exprimés,134255,134893.0
76,24,1965,Inscrits,178329,178379.0
77,24,1965,Votants,100617,109318.0
78,24,1965,Exprimés,100038,107916.0
79,24,1965,Blancs et nuls,579,1402.0
80,26,1965,Inscrits,232752,232688.0
81,26,1965,Exprimés,192050,184266.0
82,26,1965,Votants,193743,191900.0
83,26,1965,Blancs et nuls,1693,7634.0
84,27,1965,Inscrits,326726,326442.0
85,27,1965,Votants,282184,282610.0
86,27,1965,Exprimés,280456,277702.0
87,27,1965,Blancs et nuls,1728,4908.0
88,28,1965,Exprimés,84699,87394.0
89,28,1965,Inscrits,113157,113144.0
90,28,1965,Votants,85468,88860.0
91,28,1965,Blancs et nuls,769,1466.0
92,33,1965,Exprimés,214061,213294.0
93,33,1965,Votants,216543,217965.0
94,33,1965,Inscrits,253060,253017.0
95,33,1965,Blancs et nuls,2482,4671.0
96,34,1965,Blancs et nuls,1539,4643.0
97,34,1965,Inscrits,219965,219875.0
98,34,1965,Votants,190715,190786.0
99,34,1965,Exprimés,189176,186143.0
100,35,1965,Inscrits,195367,195204.0
101,35,1965,Exprimés,161411,157707.0
102,35,1965,Votants,162910,162214.0
103,35,1965,Blancs et nuls,1499,4507.0
104,38,1965,Votants,187064,184479.0
105,38,1965,Blancs et nuls,1907,5840.0
106,38,1965,Exprimés,185157,178639.0
107,38,1965,Inscrits,214077,213621.0
108,39,1965,Inscrits,173875,173872.0
109,39,1965,Exprimés,148180,144161.0
110,39,1965,Blancs et nuls,1743,4817.0
111,39,1965,Votants,149923,148978.0
112,40,1965,Exprimés,418689,411748.0
113,40,1965,Blancs et nuls,1923,7440.0
114,40,1965,Votants,420612,419188.0
115,40,1965,Inscrits,495023,494879.0
116,44,1965,Votants,236592,237691.0
117,44,1965,Exprimés,234100,230459.0
118,44,1965,Inscrits,279277,279156.0
119,44,1965,Blancs et nuls,2492,7232.0
120,51,1965,Inscrits,387132,386737.0
121,51,1965,Votants,324804,325005.0
122,51,1965,Exprimés,321180,317290.0
123,51,1965,Blancs et nuls,3624,7715.0
124,45,1965,Inscrits,115101,115087.0
125,45,1965,Blancs et nuls,1089,2746.0
126,45,1965,Exprimés,93525,93303.0
127,45,1965,Votants,94614,96049.0
128,46,1965,Exprimés,486130,473011.0
129,46,1965,Blancs et nuls,4017,11742.0
130,46,1965,Inscrits,582038,581834.0
131,46,1965,Votants,490147,484753.0
132,62,1965,Inscrits,324983,324912.0
133,62,1965,Exprimés,271671,265043.0
134,62,1965,Blancs et nuls,2422,8645.0
135,62,1965,Votants,274093,273688.0
136,64,1965,Exprimés,322907,313947.0
137,64,1965,Blancs et nuls,2898,8928.0
138,64,1965,Inscrits,381833,381665.0
139,64,1965,Votants,325805,322875.0
140,65,1965,Exprimés,131403,129839.0
141,65,1965,Blancs et nuls,1905,4413.0
142,65,1965,Inscrits,161082,161000.0
143,65,1965,Votants,133308,134252.0
144,66,1965,Blancs et nuls,2431,7136.0
145,66,1965,Exprimés,206477,200440.0
146,66,1965,Inscrits,246918,246813.0
147,66,1965,Votants,208908,207576.0
148,67,1965,Votants,358262,357797.0
149,67,1965,Blancs et nuls,2791,9179.0
150,67,1965,Exprimés,355471,348618.0
151,67,1965,Inscrits,434101,433983.0
152,69,1965,Votants,118773,120111.0
153,69,1965,Exprimés,117659,116895.0
154,69,1965,Blancs et nuls,1114,3216.0
155,69,1965,Inscrits,141771,141733.0
156,72,1965,Votants,152073,150670.0
157,72,1965,Inscrits,176443,176442.0
158,72,1965,Blancs et nuls,1486,3115.0
159,72,1965,Exprimés,150587,147555.0
160,73,1965,Blancs et nuls,1865,4610.0
161,73,1965,Exprimés,137325,134226.0
162,73,1965,Inscrits,162485,162347.0
163,73,1965,Votants,139190,138836.0
164,74,1965,Inscrits,411765,411746.0
165,74,1965,Blancs et nuls,3302,13008.0
166,74,1965,Exprimés,337888,324975.0
167,74,1965,Votants,341190,337983.0
168,52,1965,Inscrits,138799,138645.0
169,52,1965,Blancs et nuls,1093,4577.0
170,52,1965,Exprimés,112867,108318.0
171,52,1965,Votants,113960,112895.0
172,75,1965,Votants,418605,416761.0
173,75,1965,Inscrits,489365,489269.0
174,75,1965,Exprimés,415127,402772.0
175,75,1965,Blancs et nuls,3478,13989.0
176,76,1965,Votants,209582,207481.0
177,76,1965,Blancs et nuls,2687,6254.0
178,76,1965,Inscrits,243096,242971.0
179,76,1965,Exprimés,206895,201227.0
180,77,1965,Votants,85529,86201.0
181,77,1965,Blancs et nuls,1017,2156.0
182,77,1965,Inscrits,101088,101075.0
183,77,1965,Exprimés,84512,84045.0
184,78,1965,Exprimés,148717,146690.0
185,78,1965,Inscrits,174013,173968.0
186,78,1965,Votants,150422,151053.0
187,78,1965,Blancs et nuls,1705,4363.0
188,79,1965,Exprimés,43181,42717.0
189,79,1965,Votants,43557,43897.0
190,79,1965,Inscrits,54151,54132.0
191,79,1965,Blancs et nuls,376,1180.0
192,81,1965,Exprimés,277294,267574.0
193,81,1965,Inscrits,331808,332111.0
194,81,1965,Votants,280227,278775.0
195,81,1965,Blancs et nuls,2933,11201.0
196,82,1965,Blancs et nuls,1801,6763.0
197,82,1965,Exprimés,227513,218023.0
198,82,1965,Votants,229314,224786.0
199,82,1965,Inscrits,268177,268178.0
200,83,1965,Votants,218276,217340.0
201,83,1965,Inscrits,258504,258446.0
202,83,1965,Exprimés,216242,210617.0
203,83,1965,Blancs et nuls,2034,6723.0
204,53,1965,Blancs et nuls,1188,2695.0
205,53,1965,Exprimés,101857,100223.0
206,53,1965,Inscrits,120192,120178.0
207,53,1965,Votants,103045,102918.0
208,85,1965,Blancs et nuls,2052,5615.0
209,85,1965,Exprimés,133126,126147.0
210,85,1965,Inscrits,152468,152468.0
211,85,1965,Votants,135178,131762.0
212,87,1965,Votants,320283,317517.0
213,87,1965,Exprimés,317550,309868.0
